iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,24,0.1783447265625,0.009414293929385304,0.002406787872314453,0.0003055417727242145,0.7,0.01,6,300,,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300, 'n_jobs': None, 'subsample': 0.7}",0.75,0.6666666666666666,0.25,0.75,0.6666666666666666,0.6166666666666666,0.18708286933869708,331
0,24,0.1884141445159912,0.009925903076668166,0.002063083648681641,0.00023270251313327165,0.7,0.01,6,300,,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300, 'n_jobs': None, 'subsample': 0.8}",0.5,0.6666666666666666,0.25,0.5,0.6666666666666666,0.5166666666666666,0.15275252316519466,793
0,24,0.19209208488464355,0.013782217373631955,0.002782440185546875,0.00018446367656094496,0.7,0.01,6,300,,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300, 'n_jobs': None, 'subsample': 0.9}",1.0,0.6666666666666666,0.25,0.5,0.6666666666666666,0.6166666666666666,0.2449489742783178,331
0,24,0.10625958442687988,0.0007105626316014993,0.0020397186279296877,4.172186167991272e-05,0.7,0.01,6,300,,0.1,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300, 'n_jobs': None, 'subsample': 0.1}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1016
0,24,0.4545611381530762,0.013339622545398278,0.002294635772705078,0.00031781314998443347,0.7,0.01,6,1000,,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1000, 'n_jobs': None, 'subsample': 0.7}",1.0,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.18257418583505536,172
0,24,0.45166664123535155,0.018071863010442234,0.001951122283935547,2.7099121793879838e-05,0.7,0.01,6,1000,,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1000, 'n_jobs': None, 'subsample': 0.8}",1.0,0.6666666666666666,0.25,0.5,0.6666666666666666,0.6166666666666666,0.2449489742783178,331
0,24,0.4483486175537109,0.017546611034310846,0.0019560813903808593,1.5796629825754907e-05,0.7,0.01,6,1000,,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1000, 'n_jobs': None, 'subsample': 0.9}",1.0,0.6666666666666666,0.25,0.75,0.6666666666666666,0.6666666666666666,0.24152294576982397,172
0,24,0.3447761535644531,0.004658447381331762,0.0019116878509521484,2.1136529811155853e-05,0.7,0.01,6,1000,,0.1,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1000, 'n_jobs': None, 'subsample': 0.1}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1016
0,24,0.0665903091430664,0.0017716453683299508,0.0020563602447509766,0.0004477507263195344,0.7,0.01,9,100,,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'n_jobs': None, 'subsample': 0.7}",1.0,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.18257418583505536,172
0,24,0.06903362274169922,0.002425914363714657,0.002267885208129883,0.0005914981955296593,0.7,0.01,9,100,,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'n_jobs': None, 'subsample': 0.8}",0.5,0.6666666666666666,0.25,0.5,0.6666666666666666,0.5166666666666666,0.15275252316519466,793
0,24,0.0711052417755127,0.0040240756817636,0.002311372756958008,0.0005864717230865435,0.7,0.01,9,100,,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'n_jobs': None, 'subsample': 0.9}",1.0,0.6666666666666666,0.25,0.5,0.6666666666666666,0.6166666666666666,0.2449489742783178,331
0,24,0.03851351737976074,0.0022781420626288356,0.0017052173614501953,3.409215616106126e-05,0.7,0.01,9,100,,0.1,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'n_jobs': None, 'subsample': 0.1}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1016
0,24,0.12623867988586426,0.005767784489480824,0.0029097080230712892,0.00031119458977890203,0.7,0.01,9,200,,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200, 'n_jobs': None, 'subsample': 0.7}",0.75,0.6666666666666666,0.25,0.75,0.6666666666666666,0.6166666666666666,0.18708286933869708,331
0,24,0.14231338500976562,0.020635831541346943,0.00240178108215332,0.0004381633632490291,0.7,0.01,9,200,,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200, 'n_jobs': None, 'subsample': 0.8}",0.5,0.6666666666666666,0.25,0.5,0.6666666666666666,0.5166666666666666,0.15275252316519466,793
0,24,0.12970242500305176,0.002880455310517199,0.002573728561401367,0.00038741544548730905,0.7,0.01,9,200,,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200, 'n_jobs': None, 'subsample': 0.9}",1.0,0.6666666666666666,0.25,0.5,0.6666666666666666,0.6166666666666666,0.2449489742783178,331
0,24,0.07192625999450683,0.000316524440964212,0.002065229415893555,2.2428789858073582e-05,0.7,0.01,9,200,,0.1,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200, 'n_jobs': None, 'subsample': 0.1}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1016
0,24,0.17596096992492677,0.013290187094866516,0.002651500701904297,0.0001284513279470705,0.7,0.01,9,300,,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300, 'n_jobs': None, 'subsample': 0.7}",0.75,0.6666666666666666,0.25,0.75,0.6666666666666666,0.6166666666666666,0.18708286933869708,331
0,24,0.18376240730285645,0.008013373810077728,0.0022702693939208986,0.0003445096956019743,0.7,0.01,9,300,,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300, 'n_jobs': None, 'subsample': 0.8}",0.5,0.6666666666666666,0.25,0.5,0.6666666666666666,0.5166666666666666,0.15275252316519466,793
0,24,0.1865560531616211,0.009912749183282082,0.0018124580383300781,4.1152455691444236e-05,0.7,0.01,9,300,,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300, 'n_jobs': None, 'subsample': 0.9}",1.0,0.6666666666666666,0.25,0.5,0.6666666666666666,0.6166666666666666,0.2449489742783178,331
0,24,0.10664429664611816,0.002788085550063258,0.001806926727294922,0.00010000599667465142,0.7,0.01,9,300,,0.1,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300, 'n_jobs': None, 'subsample': 0.1}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,1016
